EmbeddingSimilarity,nll-test,
1,-0.0015504808636288712,2.3774185,
6,-0.004266602687294577,1.8503658,
11,-0.004438380763122434,1.6920907,
16,-0.021875057634745208,2.0141847,
21,-0.006804082591271027,1.3913745,
26,-0.033794826168790995,2.0429883,
31,-0.015494743244656285,1.1538739,
36,-0.0168944469745022,0.9805949,
41,-0.01488305540512195,0.83678,
46,-0.011499369279672142,0.70168567,
51,-0.02392735411438894,0.597195,
56,-0.017032337923129474,0.5161145,
61,-0.01671826012365775,0.5018582,
66,-0.01702743464726746,0.43354052,
71,-0.011191275234780007,0.38430464,
76,-0.011900299059555676,0.34496826,
81,-0.014351012743872628,0.31136253,
